"","method","nsnp","b","se","pval","exp","run","mode"
"13","MR Egger",19,0.0474601223929245,0.0727352121565529,0.522801350982227,1,4,"A"
"23","Weighted median",19,0.00897068265914546,0.0107020237225671,0.401905459898636,1,4,"A"
"33","Inverse variance weighted",19,0.0100719237021828,0.00805684140677292,0.211260015973426,1,4,"A"
"43","Simple mode",19,-0.0058892247393261,0.021114068553966,0.783482298205636,1,4,"A"
"53","Weighted mode",19,-0.000654328392410378,0.0207890635802496,0.975237388726302,1,4,"A"
"exposure13","mvmr",50,0.0114833539868162,0.00751769304065437,0.132470864753123,1,4,"A"
"exposure23","mvmr",50,1.09948446514115,0.0912717989175642,6.28863773051312e-17,2,4,"A"
"14","MR Egger",17,0.474045270054422,0.0996220456534822,0.000253774373957266,1,5,"A"
"24","Weighted median",17,0.0095170674957534,0.0141285870640461,0.500563346418513,1,5,"A"
"34","Inverse variance weighted",17,0.0333662804372073,0.0341089557424337,0.327962370034382,1,5,"A"
"44","Simple mode",17,0.00431364842642204,0.0241074946069255,0.860235786535408,1,5,"A"
"54","Weighted mode",17,0.0122069620961691,0.0227601428839655,0.599108381779098,1,5,"A"
"exposure14","mvmr",50,0.00519174358088167,0.0085232147117294,0.544992746470488,1,5,"A"
"exposure24","mvmr",50,1.03906345678923,0.0796077722739844,2.45519453593114e-18,2,5,"A"
"15","MR Egger",19,-0.06667853900036,0.0598879806968884,0.281037607768064,1,6,"A"
"25","Weighted median",19,-0.00195838931740596,0.0107986364281714,0.856088748365554,1,6,"A"
"35","Inverse variance weighted",19,-0.00250654062402764,0.00862006450520797,0.771219736167328,1,6,"A"
"45","Simple mode",19,-0.000606318117986379,0.0209221073403178,0.977199611662682,1,6,"A"
"55","Weighted mode",19,-0.00408046124207595,0.0195030987192197,0.836625161852719,1,6,"A"
"exposure15","mvmr",50,-0.00342983277923977,0.00718829141884077,0.635186771920933,1,6,"A"
"exposure25","mvmr",50,1.21754806166918,0.0909851234001259,8.72920923264507e-19,2,6,"A"
"16","MR Egger",17,0.290768929794201,0.0286681889522485,4.14645139354564e-08,1,7,"A"
"26","Weighted median",17,0.00960544157456925,0.0127766924525884,0.452174910833372,1,7,"A"
"36","Inverse variance weighted",17,0.0541788440193217,0.0287725529792279,0.0596997709208674,1,7,"A"
"46","Simple mode",17,-0.0108127475922,0.0232358313528717,0.647953235903298,1,7,"A"
"56","Weighted mode",17,-0.0127859019974303,0.024365550212916,0.606949721550506,1,7,"A"
"exposure16","mvmr",50,0.00770278031207743,0.00891635057887722,0.391467367628869,1,7,"A"
"exposure26","mvmr",50,1.12311977937743,0.0996119410572941,8.25307358955794e-16,2,7,"A"
"17","MR Egger",19,-0.310300791784606,0.0275120695537413,2.58185343593424e-09,1,8,"A"
"27","Weighted median",19,-0.00901049864688759,0.015025165550475,0.548710320001437,1,8,"A"
"37","Inverse variance weighted",19,-0.0567127961119964,0.0294693174965955,0.05429578824259,1,8,"A"
"47","Simple mode",19,-0.015317618199241,0.0251015308112443,0.549339337355738,1,8,"A"
"57","Weighted mode",19,0.00331368488268374,0.0220793471031013,0.882369836825022,1,8,"A"
"exposure17","mvmr",50,0.00433722008786598,0.00994242255861907,0.664406316524877,1,8,"A"
"exposure27","mvmr",50,1.11074285722652,0.0924329874849509,6.93034522938929e-17,2,8,"A"
"18","MR Egger",19,-0.0407038097094183,0.0907248668579156,0.659349492719615,1,9,"A"
"28","Weighted median",19,0.0110208010900317,0.0111787751169374,0.32419769742528,1,9,"A"
"38","Inverse variance weighted",19,0.00723677018559412,0.00865541274463789,0.40309997486643,1,9,"A"
"48","Simple mode",19,0.0168565149544617,0.0220240936115833,0.45397228398621,1,9,"A"
"58","Weighted mode",19,0.0158840402316932,0.020616614467157,0.45102848295728,1,9,"A"
"exposure18","mvmr",50,0.0122667860615391,0.00926875395088075,0.191259982593813,1,9,"A"
"exposure28","mvmr",50,0.926141716687815,0.106187215351543,6.86695243793582e-12,2,9,"A"
"19","MR Egger",18,-0.162469815046435,0.0233168066142203,3.16941833790042e-06,1,10,"A"
"29","Weighted median",18,-0.00940305850206869,0.0112424696945804,0.402937073457216,1,10,"A"
"39","Inverse variance weighted",18,-0.043867738609519,0.0194905759830104,0.0244035717101514,1,10,"A"
"49","Simple mode",18,-0.00195547823854036,0.0173345608683943,0.911504133490119,1,10,"A"
"59","Weighted mode",18,0.00270584237616103,0.0166775005704411,0.873025703024454,1,10,"A"
"exposure19","mvmr",50,0.00119004419231923,0.00813089782893855,0.884181650728726,1,10,"A"
"exposure29","mvmr",50,1.08136270545993,0.116532168724771,9.00964681034633e-13,2,10,"A"
"110","MR Egger",16,-0.466645656889543,0.0606755961873781,2.16008986310534e-06,1,11,"A"
"210","Weighted median",16,0.000783745904029094,0.0172477311027426,0.963756182471547,1,11,"A"
"310","Inverse variance weighted",16,-0.0536936830526328,0.0479334438370893,0.262640638660314,1,11,"A"
"410","Simple mode",16,-0.00818883750502986,0.0267824146260905,0.763994090777433,1,11,"A"
"510","Weighted mode",16,-0.00458654685659576,0.0224768188960065,0.841051868718765,1,11,"A"
"exposure110","mvmr",50,0.0156548298353948,0.0130823609137403,0.236675696824149,1,11,"A"
"exposure210","mvmr",50,1.30904228015074,0.108165412310663,5.232703003462e-17,2,11,"A"
"111","MR Egger",20,0.414313179235549,0.0745615283449336,2.82906503777814e-05,1,12,"A"
"211","Weighted median",20,0.0248238807353011,0.0132422901930929,0.0608489840042329,1,12,"A"
"311","Inverse variance weighted",20,0.0465860711482574,0.0290602154544674,0.108915314505683,1,12,"A"
"411","Simple mode",20,0.0370602314086106,0.0202077951469284,0.0823725130051849,1,12,"A"
"511","Weighted mode",20,0.0384515347357867,0.0187665729181069,0.0545358799583032,1,12,"A"
"exposure111","mvmr",50,0.0143462644915561,0.00924248288976817,0.126453913198685,1,12,"A"
"exposure211","mvmr",50,1.09127895518613,0.0918442757914758,1.08177445403018e-16,2,12,"A"
"112","MR Egger",22,-0.404146364075487,0.0805561536536528,6.6104490904487e-05,1,13,"A"
"212","Weighted median",22,0.00611321744214586,0.00982878602433284,0.533961099738291,1,13,"A"
"312","Inverse variance weighted",22,-0.00906437106169071,0.0222361452690811,0.683537042054065,1,13,"A"
"412","Simple mode",22,0.00769812955756322,0.0159562970751292,0.63447640297467,1,13,"A"
"512","Weighted mode",22,0.00634535127649116,0.0164303404771944,0.703235680585088,1,13,"A"
"exposure112","mvmr",50,0.00298634626527873,0.00739218642411415,0.687817882414493,1,13,"A"
"exposure212","mvmr",50,1.09055854972822,0.0904077672126607,5.95862886594335e-17,2,13,"A"
"113","MR Egger",21,0.196304894418478,0.0213706628468263,2.03009567507863e-08,1,14,"A"
"213","Weighted median",21,0.00986302826029309,0.0103189447560603,0.339164431604586,1,14,"A"
"313","Inverse variance weighted",21,0.0571610284866953,0.0192789942237589,0.00302743635090175,1,14,"A"
"413","Simple mode",21,-0.00204748648863817,0.0168546442868855,0.904523843586899,1,14,"A"
"513","Weighted mode",21,-0.000643100845908851,0.0167597203677215,0.969771676738245,1,14,"A"
"exposure113","mvmr",50,0.017772566363973,0.00820514694559844,0.0347428039498421,1,14,"A"
"exposure213","mvmr",50,1.10434626807212,0.116511934756786,4.39816489910916e-13,2,14,"A"
"114","MR Egger",18,-0.389941737380564,0.0421225913090532,7.94938895387376e-08,1,15,"A"
"214","Weighted median",18,0.0226121527518996,0.0204995240976724,0.270002217846949,1,15,"A"
"314","Inverse variance weighted",18,-0.0680366329084276,0.0414314594755564,0.100559113151985,1,15,"A"
"414","Simple mode",18,0.0401633029000247,0.0308552679487492,0.21039365894335,1,15,"A"
"514","Weighted mode",18,0.0388354650041786,0.0307387667352763,0.223496597315313,1,15,"A"
"exposure114","mvmr",50,0.0153933233601627,0.0164927890992023,0.35480090974454,1,15,"A"
"exposure214","mvmr",50,1.13106038193175,0.114358987712314,1.00853183165402e-13,2,15,"A"
"115","MR Egger",21,0.286353107729606,0.026608481544879,1.59279152139593e-09,1,16,"A"
"215","Weighted median",21,0.005586405366149,0.0130030720485074,0.667470656386805,1,16,"A"
"315","Inverse variance weighted",21,0.0603662926251517,0.0276991422284237,0.0293052299187378,1,16,"A"
"415","Simple mode",21,0.00380106119474113,0.0228652132026938,0.86963894538108,1,16,"A"
"515","Weighted mode",21,-0.00277116883240963,0.0221829241276084,0.901831234821599,1,16,"A"
"exposure115","mvmr",50,0.00472827714099533,0.0094126677401196,0.617476909455568,1,16,"A"
"exposure215","mvmr",50,1.18959445801565,0.0939889328345973,8.65181062014986e-18,2,16,"A"
"116","MR Egger",17,-0.44327390574211,0.0682433789774363,1.01093777912242e-05,1,17,"A"
"216","Weighted median",17,0.00162387026432806,0.0147187848726849,0.912150536138932,1,17,"A"
"316","Inverse variance weighted",17,-0.0400546217397528,0.0379190095983859,0.290821878746042,1,17,"A"
"416","Simple mode",17,0.00634216989127523,0.0240524183232809,0.795391468788513,1,17,"A"
"516","Weighted mode",17,0.00332967335892365,0.0215837648121338,0.879327952415907,1,17,"A"
"exposure116","mvmr",50,-0.00300355916610334,0.0115165844666916,0.79523650541684,1,17,"A"
"exposure216","mvmr",50,1.09327058725698,0.100132318724389,2.78411832308813e-15,2,17,"A"
"117","MR Egger",21,-0.299915237638425,0.0324773961705169,1.86798648702445e-08,1,18,"A"
"217","Weighted median",21,-0.00696514645333425,0.0132513585781182,0.599153969724906,1,18,"A"
"317","Inverse variance weighted",21,-0.0471923790205757,0.0259683855915885,0.0691710020753983,1,18,"A"
"417","Simple mode",21,0.0240157388821245,0.0236637470634225,0.322286547487236,1,18,"A"
"517","Weighted mode",21,-0.00744360906065511,0.0225725796245985,0.745007658630953,1,18,"A"
"exposure117","mvmr",50,-0.000697268640599382,0.00978787244343644,0.943471508918206,1,18,"A"
"exposure217","mvmr",50,1.14824713475772,0.107667221757842,6.66963521559348e-15,2,18,"A"
"118","MR Egger",8,0.192749507013075,0.177214979441397,0.318495135633818,1,19,"A"
"218","Weighted median",8,-0.0054921195849584,0.0184214353752084,0.765598267134263,1,19,"A"
"318","Inverse variance weighted",8,-0.00845844908501733,0.0162194412350238,0.602018055539925,1,19,"A"
"418","Simple mode",8,-0.00484226524766998,0.0318749754289529,0.883540222745723,1,19,"A"
"518","Weighted mode",8,-0.000812087449161752,0.0334294073533906,0.981297210382977,1,19,"A"
"exposure118","mvmr",50,0.000584846578338629,0.0103311845581983,0.955064954549644,1,19,"A"
"exposure218","mvmr",50,1.21739885670932,0.0956483833994627,6.88850280147776e-18,2,19,"A"
"119","MR Egger",20,0.434884178509851,0.0606638729189079,1.12688585152414e-06,1,20,"A"
"219","Weighted median",20,-0.00386480255662522,0.0140264760732017,0.782904283073632,1,20,"A"
"319","Inverse variance weighted",20,0.042644220817448,0.0319273086805271,0.181658465706543,1,20,"A"
"419","Simple mode",20,-0.016107375771294,0.0226199867434548,0.485064370531397,1,20,"A"
"519","Weighted mode",20,-0.0120020370614233,0.023132556475959,0.609864683039807,1,20,"A"
"exposure119","mvmr",50,0.00803152770574517,0.00886020460310498,0.368713265888611,1,20,"A"
"exposure219","mvmr",50,1.12430535434168,0.0805662586977095,1.49314923612785e-19,2,20,"A"
"120","MR Egger",21,-0.0776707277406217,0.0751051268181636,0.314045666491653,1,21,"A"
"220","Weighted median",21,0.01240520984227,0.0125552598370567,0.323128732409526,1,21,"A"
"320","Inverse variance weighted",21,0.0090512278883721,0.00919089268876796,0.324720355199923,1,21,"A"
"420","Simple mode",21,0.0154932186346363,0.0235322227359943,0.517799940097426,1,21,"A"
"520","Weighted mode",21,0.016021977727139,0.021118466851186,0.456897512809319,1,21,"A"
"exposure120","mvmr",50,0.00748460425175376,0.010176850265682,0.46524555403114,1,21,"A"
"exposure220","mvmr",50,1.13291735057391,0.0969364968076442,2.06504444598283e-16,2,21,"A"
"121","MR Egger",20,0.0187270091656327,0.0930327752678085,0.842725332903345,1,22,"A"
"221","Weighted median",20,0.000718244872922071,0.0118553848188395,0.95169063456216,1,22,"A"
"321","Inverse variance weighted",20,-0.00760065304271533,0.010221162570123,0.457106865933,1,22,"A"
"421","Simple mode",20,0.0129382030599952,0.021496719097538,0.554376349556655,1,22,"A"
"521","Weighted mode",20,0.0117747980836593,0.0193511510364919,0.550074757108047,1,22,"A"
"exposure121","mvmr",50,-0.00214967709800663,0.00918079294348166,0.815754493338384,1,22,"A"
"exposure221","mvmr",50,1.11463063921067,0.0980418758839449,6.00678956579446e-16,2,22,"A"
"122","MR Egger",19,-0.0931230348080898,0.0968263260633584,0.349654873808739,1,23,"A"
"222","Weighted median",19,0.0198061353543653,0.0136565094871209,0.146972845249597,1,23,"A"
"322","Inverse variance weighted",19,0.00731758290977956,0.0102510851942704,0.475329243919041,1,23,"A"
"422","Simple mode",19,0.021583956878205,0.0248486584905484,0.396491031569508,1,23,"A"
"522","Weighted mode",19,0.022192006477106,0.0255478120642866,0.396475325937214,1,23,"A"
"exposure122","mvmr",50,0.0113554557499819,0.0108123541955684,0.298290012301314,1,23,"A"
"exposure222","mvmr",50,1.05353642911715,0.100551760398696,1.27795458015309e-14,2,23,"A"
"123","MR Egger",18,0.236146141429121,0.0194827756032777,1.77937744570713e-09,1,24,"A"
"223","Weighted median",18,0.00136040433137776,0.010506545199676,0.896976579808555,1,24,"A"
"323","Inverse variance weighted",18,0.0453174291631334,0.0231669600220182,0.0504506367288449,1,24,"A"
"423","Simple mode",18,0.0116199627648591,0.0177410597772668,0.521248080486017,1,24,"A"
"523","Weighted mode",18,0.00791620916135494,0.0184099285017829,0.67259919282644,1,24,"A"
"exposure123","mvmr",50,0.00535868309885328,0.00704070216433418,0.449907922079044,1,24,"A"
"exposure223","mvmr",50,1.12012710728593,0.087319346744269,5.00364011264135e-18,2,24,"A"
"124","MR Egger",16,-0.327616602064002,0.0355824313798804,2.5724193838043e-07,1,25,"A"
"224","Weighted median",16,0.0211432792429963,0.0124410766754721,0.0892300168173406,1,25,"A"
"324","Inverse variance weighted",16,-0.0312297220602412,0.0349057375317648,0.370954238987124,1,25,"A"
"424","Simple mode",16,0.0239140427313667,0.019254147379027,0.233298360409774,1,25,"A"
"524","Weighted mode",16,0.0186522554470203,0.0178385430826998,0.312296812212229,1,25,"A"
"exposure124","mvmr",50,0.0190975197792632,0.00777424572143141,0.0172750938701973,1,25,"A"
"exposure224","mvmr",50,1.25270958777319,0.0832419799166991,5.7533623182907e-21,2,25,"A"
"125","MR Egger",17,0.0588929803021607,0.0785990624589325,0.465275602726771,1,26,"A"
"225","Weighted median",17,0.0164984508237585,0.0145687789087212,0.257444222563803,1,26,"A"
"325","Inverse variance weighted",17,0.0186134886023609,0.0110208577248192,0.0912322998846877,1,26,"A"
"425","Simple mode",17,0.0130130376724162,0.026027089878036,0.623894974843051,1,26,"A"
"525","Weighted mode",17,0.0135985021384439,0.0256516664247445,0.603307512997334,1,26,"A"
"exposure125","mvmr",50,0.0144124246843266,0.0102862161523116,0.166893371535675,1,26,"A"
"exposure225","mvmr",50,1.24798075725186,0.0905114471429857,2.48649237059963e-19,2,26,"A"
"126","MR Egger",19,-0.267155401870865,0.0242035332192292,3.57391598013151e-09,1,27,"A"
"226","Weighted median",19,0.00177414474000372,0.0141159040889281,0.899981986232721,1,27,"A"
"326","Inverse variance weighted",19,-0.0523186251676622,0.0285976723655919,0.0673290122864859,1,27,"A"
"426","Simple mode",19,0.0304397250732963,0.0222725200087477,0.18855064334146,1,27,"A"
"526","Weighted mode",19,0.0295302712625796,0.0201918211290656,0.160849334433376,1,27,"A"
"exposure126","mvmr",50,0.0103826161776503,0.0102786244568077,0.316943991325023,1,27,"A"
"exposure226","mvmr",50,1.18148235783101,0.101382011328407,2.30882841997042e-16,2,27,"A"
"127","MR Egger",17,-0.243100214470172,0.0153924644100542,9.35689205074459e-11,1,28,"A"
"227","Weighted median",17,-0.0141474021656445,0.0120197695877472,0.239191077829581,1,28,"A"
"327","Inverse variance weighted",17,-0.0554516254785813,0.024591503092351,0.0241389804483047,1,28,"A"
"427","Simple mode",17,-0.00726647522437796,0.0174037314740826,0.681844168548999,1,28,"A"
"527","Weighted mode",17,-0.0104904852112375,0.0163074977031552,0.529147377900454,1,28,"A"
"exposure127","mvmr",50,-0.0005104490949376,0.00790185013760706,0.948732085337491,1,28,"A"
"exposure227","mvmr",50,1.21718842275827,0.100124583577016,4.37649975815112e-17,2,28,"A"
"128","MR Egger",19,-0.149856427161161,0.0104433062971537,6.24346191902633e-11,1,29,"A"
"228","Weighted median",19,-0.0796346620989133,0.0238185251160775,0.000827609542991146,1,29,"A"
"328","Inverse variance weighted",19,-0.0734869400745992,0.0214384214863795,0.000608460227563875,1,29,"A"
"428","Simple mode",19,0.0149003890328618,0.0266051441579749,0.582344512285343,1,29,"A"
"528","Weighted mode",19,-0.147062724500863,0.011539857515787,1.9050099011201e-10,1,29,"A"
"exposure128","mvmr",50,0.00995741940759045,0.0115711656936982,0.393297680767427,1,29,"A"
"exposure228","mvmr",50,1.22400363754087,0.130976579904861,7.10640772231761e-13,2,29,"A"
"129","MR Egger",19,-0.384332235340573,0.0333016766098851,1.8232022635944e-09,1,30,"A"
"229","Weighted median",19,0.0136968174619372,0.0116289105968495,0.238866522533136,1,30,"A"
"329","Inverse variance weighted",19,-0.0314266007271268,0.028028433818935,0.262185723690633,1,30,"A"
"429","Simple mode",19,0.0268530974556655,0.0211989964942972,0.221403368822443,1,30,"A"
"529","Weighted mode",19,0.0290351417332043,0.0208399579170845,0.180514077065737,1,30,"A"
"exposure129","mvmr",50,0.00330715503184415,0.00758133539068426,0.664413847467746,1,30,"A"
"exposure229","mvmr",50,1.24734155221022,0.0909148988254148,3.06571845832257e-19,2,30,"A"
"130","MR Egger",19,-0.0460179243193934,0.125046849107428,0.717411230177363,1,31,"A"
"230","Weighted median",19,-0.0369313747411691,0.0202818849540278,0.0686213813394915,1,31,"A"
"330","Inverse variance weighted",19,-0.0235015646403343,0.0143224831362037,0.100821044330363,1,31,"A"
"430","Simple mode",19,-0.0557816169053005,0.0379216593450504,0.158565435949032,1,31,"A"
"530","Weighted mode",19,-0.0532969380729914,0.033461091395179,0.128612800713975,1,31,"A"
"exposure130","mvmr",50,-0.0247233559791318,0.0137415491745114,0.0775809102913558,1,31,"A"
"exposure230","mvmr",50,1.01684701937804,0.0869351704296611,2.00132670312085e-16,2,31,"A"
"131","MR Egger",21,-0.19734516501757,0.0204900134857558,9.60603329488169e-09,1,32,"A"
"231","Weighted median",21,-0.00638987969150437,0.0106068475881154,0.546888165197252,1,32,"A"
"331","Inverse variance weighted",21,-0.0360414277052545,0.0182243783966781,0.0479682926503035,1,32,"A"
"431","Simple mode",21,-0.015676534825265,0.0189139171164171,0.416979642346663,1,32,"A"
"531","Weighted mode",21,-0.0128701229725263,0.0182778227311335,0.48946464529716,1,32,"A"
"exposure131","mvmr",50,-0.000441147596071359,0.00667582715909436,0.947557116677874,1,32,"A"
"exposure231","mvmr",50,1.0346735798906,0.0883315062332653,1.89164368828612e-16,2,32,"A"
"132","MR Egger",21,-0.635049317806924,0.082989379900727,3.22259604186235e-07,1,33,"A"
"232","Weighted median",21,0.0151182177984484,0.0113056372735786,0.181148135974157,1,33,"A"
"332","Inverse variance weighted",21,-0.008452844109474,0.0296296801055298,0.775427333910523,1,33,"A"
"432","Simple mode",21,0.015760771812432,0.0187855075179715,0.411393588784779,1,33,"A"
"532","Weighted mode",21,0.015760771812432,0.017621444294916,0.381740978153176,1,33,"A"
"exposure132","mvmr",50,0.0110468413665442,0.00794089720098111,0.169890670888318,1,33,"A"
"exposure232","mvmr",50,1.20825980814895,0.0805916225493761,6.78540461722814e-21,2,33,"A"
"133","MR Egger",18,-0.383581262625245,0.0653379815193479,2.36750811878838e-05,1,34,"A"
"233","Weighted median",18,0.0170009957159673,0.0124384196903313,0.171683876951588,1,34,"A"
"333","Inverse variance weighted",18,-0.0237461206695317,0.0319568837753053,0.457440835090503,1,34,"A"
"433","Simple mode",18,0.0166677671496321,0.0190762888239103,0.394433975724575,1,34,"A"
"533","Weighted mode",18,0.0179505274908485,0.0158191886978299,0.272235041119898,1,34,"A"
"exposure133","mvmr",50,0.0121011785082834,0.00876773304642904,0.173214097599299,1,34,"A"
"exposure233","mvmr",50,1.16429212886879,0.0898671320449705,3.33311524014964e-18,2,34,"A"
"134","MR Egger",23,-0.496203603006242,0.0620476579432158,8.28267943174252e-08,1,35,"A"
"234","Weighted median",23,-0.0058204714432026,0.0137565867977001,0.672219143179478,1,35,"A"
"334","Inverse variance weighted",23,-0.0457371943076496,0.029969528959242,0.126979178043262,1,35,"A"
"434","Simple mode",23,-0.00314269909270093,0.0247041100066748,0.899926935734785,1,35,"A"
"534","Weighted mode",23,-0.00460614617855526,0.021433031653106,0.831818151643364,1,35,"A"
"exposure134","mvmr",50,-0.00338291257493879,0.0101863046874063,0.741096395801068,1,35,"A"
"exposure234","mvmr",50,1.19180607926015,0.0958315257287318,1.76010275218096e-17,2,35,"A"
"135","MR Egger",22,-0.262803765884404,0.0210803087518649,6.90661477817116e-11,1,36,"A"
"235","Weighted median",22,0.00746043069531244,0.0107152599909401,0.486276316191536,1,36,"A"
"335","Inverse variance weighted",22,-0.0356393899108787,0.0221806718069714,0.108103328956591,1,36,"A"
"435","Simple mode",22,0.0147728472496936,0.0178086118161845,0.416132740942332,1,36,"A"
"535","Weighted mode",22,0.0139712691711805,0.0171444915014277,0.424268069020892,1,36,"A"
"exposure135","mvmr",50,0.00305903597150175,0.00748782144404345,0.68449664861298,1,36,"A"
"exposure235","mvmr",50,1.13197589798947,0.0896276475409122,9.43515989673243e-18,2,36,"A"
"136","MR Egger",19,0.0762504512709043,0.0931363452521654,0.424287718711626,1,37,"A"
"236","Weighted median",19,0.0370940889031871,0.0182661258725262,0.0422795069539502,1,37,"A"
"336","Inverse variance weighted",19,0.0314828825674844,0.0123212672765675,0.0106137183534201,1,37,"A"
"436","Simple mode",19,0.0337483339089972,0.0349993352932231,0.347694241957853,1,37,"A"
"536","Weighted mode",19,0.0343730415401623,0.0306581417398138,0.276950272877261,1,37,"A"
"exposure136","mvmr",50,0.0265626276807707,0.0121154450007327,0.0326754295567399,1,37,"A"
"exposure236","mvmr",50,1.15712834424566,0.0849125509790616,4.07729707021838e-19,2,37,"A"
"137","MR Egger",18,-0.0522592106617979,0.0890130439118806,0.5653324191723,1,38,"A"
"237","Weighted median",18,0.00918311867161637,0.0140818638243534,0.514321306062991,1,38,"A"
"337","Inverse variance weighted",18,0.00161985434064326,0.0113310394221815,0.886323936551908,1,38,"A"
"437","Simple mode",18,0.026694828040559,0.0237998308453379,0.277609720416417,1,38,"A"
"537","Weighted mode",18,0.0249330771187166,0.0224368281162794,0.281927880765474,1,38,"A"
"exposure137","mvmr",50,0.00350104875609101,0.010923413056706,0.749819762923242,1,38,"A"
"exposure237","mvmr",50,1.13646507461384,0.101606948825864,1.12011228944587e-15,2,38,"A"
"138","MR Egger",18,-0.242079579640855,0.0182288803255012,4.67584699404284e-10,1,39,"A"
"238","Weighted median",18,-0.00439293868165066,0.0141288204792308,0.755861126652748,1,39,"A"
"338","Inverse variance weighted",18,-0.0573104224812203,0.0286024171926678,0.0451031088473338,1,39,"A"
"438","Simple mode",18,0.030303775641126,0.0222060280182459,0.19015078110275,1,39,"A"
"538","Weighted mode",18,0.0312736090104948,0.021243275629922,0.15924784453544,1,39,"A"
"exposure138","mvmr",50,0.0136827532680865,0.0109255200650585,0.215833315920709,1,39,"A"
"exposure238","mvmr",50,1.29425715610991,0.120897467630493,5.79500161163637e-15,2,39,"A"
"139","MR Egger",19,-0.427684929689282,0.107688644692118,0.000986289246472434,1,40,"A"
"239","Weighted median",19,0.00910572275181514,0.0152618404539169,0.550752210863917,1,40,"A"
"339","Inverse variance weighted",19,-0.0261610770435818,0.0344281827092737,0.447329971428715,1,40,"A"
"439","Simple mode",19,0.0179025154979193,0.0273312617814717,0.520738707735986,1,40,"A"
"539","Weighted mode",19,0.0179025154979193,0.0234843119904243,0.455744222276615,1,40,"A"
"exposure139","mvmr",50,0.00779447750568456,0.0109351888591267,0.479045488785335,1,40,"A"
"exposure239","mvmr",50,1.15195297318978,0.0987657313558267,2.23510900011944e-16,2,40,"A"
"140","MR Egger",18,-0.0204809147747078,0.0816817868319689,0.805206402145241,1,41,"A"
"240","Weighted median",18,0.0112336029158772,0.0121328576410569,0.354506946033925,1,41,"A"
"340","Inverse variance weighted",18,0.00354738064271032,0.00912042696285239,0.697313898337947,1,41,"A"
"440","Simple mode",18,0.0139329953338442,0.0206693368664254,0.509317071069719,1,41,"A"
"540","Weighted mode",18,0.0135108115708943,0.0182328976632315,0.468798646667254,1,41,"A"
"exposure140","mvmr",50,0.00230179194947539,0.00887333764827077,0.796308848135461,1,41,"A"
"exposure240","mvmr",50,1.1040212415131,0.0896515864953279,2.61445921787964e-17,2,41,"A"
"141","MR Egger",17,-0.734253652854113,0.100691160057152,2.64328041942257e-06,1,42,"A"
"241","Weighted median",17,0.0117511267051096,0.0186236420823188,0.528054267823487,1,42,"A"
"341","Inverse variance weighted",17,-0.0228499039733651,0.049188339332602,0.642261595260644,1,42,"A"
"441","Simple mode",17,0.0171210261943686,0.0283264454495829,0.554040471600224,1,42,"A"
"541","Weighted mode",17,0.0104400684977074,0.0265131069924319,0.698948807114586,1,42,"A"
"exposure141","mvmr",50,0.0194102476999599,0.0126964161918623,0.132151796213824,1,42,"A"
"exposure241","mvmr",50,1.18538385776011,0.0923395520876841,4.85765018465542e-18,2,42,"A"
"142","MR Egger",17,-0.297078336683741,0.0225703115011092,1.20982070885558e-09,1,43,"A"
"242","Weighted median",17,-0.0271774743929627,0.01665211229362,0.102663963036764,1,43,"A"
